pattern_id,pattern_type,entities,time_window,description,expected_system_behaviour,record_ids
PAT01,bridge_node,P0005,2026-06-01..2026-08-14,"NET_A member P0005 calls NET_B (P0009, P0010, P0012) on secondary phone PH0021 and moves money to NET_B.",P0005 is in the top 3 by betweenness (rank 2 of 20) and is the only member linking both communities before 2026-08-15.,CDR000001;CDR000002;CDR000020;CDR000030;CDR000071;CDR000078;CDR000100;CDR000105;CDR000113;CDR000123;TXN000015;TXN000020;INTEL00002
PAT02,communication_spike,P0001;P0002;P0004;P0006;P0003;P0020,2026-08-18..2026-08-19,35 calls among the core group in the 48h before the CASE0001 incident vs about 0.5 per day earlier.,'What Changed?' flags the window; spike shown against the June-July baseline.,CDR000144;CDR000145;CDR000146;CDR000147;CDR000148;CDR000150;CDR000151;CDR000152;CDR000153;CDR000154;CDR000155;CDR000157;CDR000158;CDR000159;CDR000160;CDR000161;CDR000162;CDR000163;CDR000164;CDR000165;CDR000166;CDR000167;CDR000170;CDR000172;CDR000173;CDR000174;CDR000175;CDR000176;CDR000177;CDR000178;CDR000179;CDR000180;CDR000181;CDR000183;CDR000184;INTEL00001;POST000024
PAT03,transaction_chain,ACC00001>ACC00004>ACC00021>ACC00011>ACC00016,2026-08-19,"Four hops in nine hours, each keeping about 97% of the previous amount, ending in a cash transfer.",Path finder returns the chain; near-equal amounts and short gaps raise the lead.,TXN000044;TXN000045;TXN000046;TXN000047;FIR00004;INTEL00004
PAT04,alias,P0003;P0020,whole period,"'R. Mehta' (P0020) is the same person as 'Rahul Mehta' (P0003): same number in two formats, same organisation, same home area, same age. FIR00005 (Hindi) names the alias.",Entity resolution proposes a merge of P0020 into P0003 with reasons; a human confirms.,CDR000037;CDR000040;CDR000072;CDR000088;CDR000092;CDR000094;CDR000151;CDR000166;CDR000183;FIR00005;POST000021
PAT05,co_location,P0001;P0009;P0005,2026-08-17 22:05..22:24,Three people from two networks (plus vehicle V0003) at Ahmedabad_Zone_9 within 19 minutes.,Flagged as a cross-community co-location three days before the incident.,SURV000024;SURV000025;SURV000026;SURV000027;FIR00003;POST000018;POST000019;POST000020
PAT06,new_cross_community_edge,P0001;P0009;P0004;P0011,2026-08-15..2026-08-19,First direct contact between NET_A and NET_B outside the bridge; P0011 uses new phone PH0022.,Appears as new edges in the last 7 days and not in the 30-90 day baseline.,CDR000135;CDR000137;CDR000138;CDR000141;CDR000142;CDR000157;CDR000179;CDR000182;POST000016;POST000017
PAT07,conflicting_evidence_location,P0006,2026-08-19 21:30..21:40,FIR00002 places P0006 in Surat_Zone_3 at ~21:30; a camera and a social post place him in Ahmedabad_Zone_1 within ten minutes (about 210 km apart).,Contradiction flagged; both claims kept with sources; no automatic winner.,SURV000028;FIR00002;POST000023
PAT08,conflicting_evidence_ownership,V0006;P0012;P0013,2026-08-23,INTEL00003 links vehicle SYN-GJ-1006 to Farida Sheikh; the vehicle registry lists Manoj Parmar as owner.,Ownership conflict flagged with both sources.,INTEL00003
PAT09,anomalous_transaction,ACC00016>ACC00008,2026-08-12 02:47,"Rs 248,000 cash transfer at 02:47, about 45 times the median transaction amount.","Anomaly score high; shown with amount, hour and account history.",TXN000037
PAT10,rapid_split_transfers,ACC00013,2026-08-14 10:05..13:40,"Four transfers of 9,500-9,800 to four different accounts within four hours.",Flagged as a repeated-amount burst; no legal threshold is assumed.,TXN000039;TXN000040;TXN000041;TXN000042;POST000015
PAT11,hidden_link,P0007;P0012,2026-07-15..2026-08-10,"No direct contact, but common neighbours P0005 and P0019, same Surat zone within 18 minutes, and a two-step money path via ACC00021.","Should surface among cross-community candidates once common neighbours, co-location and the money path are combined. Common neighbours alone rank it below some within-network pairs.",CDR000002;CDR000020;CDR000032;CDR000033;CDR000034;CDR000057;CDR000084;CDR000086;CDR000100;CDR000114;CDR000190;CDR000195;TXN000017;TXN000034;SURV000022;SURV000023;INTEL00005;POST000012;POST000014
PAT12,corroborated_claim,P0004;P0018;P0001;P0009,2026-08-17..2026-08-23,"FIR00001 (call from P0004), FIR00003 (meeting and vehicle) and FIR00004 (Rs 95,000) are each backed by a CDR, surveillance or transaction record.",Copilot answers 'show evidence for...' with the matching structured records.,CDR000140;TXN000044;SURV000024;SURV000025;FIR00001;FIR00003;FIR00004
PAT13,incident_scene_presence,P0001;P0002;V0004,2026-08-20 19:40..20:10,Two persons and V0004 (owner P0004) seen at the CASE0001 incident location.,Shown on the timeline and map for the incident date.,SURV000029;SURV000030;SURV000031
